Id	Question	Difficulty	Freqency	Data Structures	Algorithms																																			
105	Construct Binary Tree from Preorder and Inorder Tr	3	3	"array	 tree"	dfs	"*             5  *            /  \            *           2    7   *          / \  / \  *         1  3 6   8       *中序     1235678  *前序    5213768  所以root是前序第一个 val是5   *然后 去中序数组里找 5的position 5左边的 都是左子树，5右边的都是右子树  *在前序里面 213 ( prestart+1	 prestart+position-instart) 左子树  768( prestart+position-instart+1	 preend) 右子树  *再递归调用找本方法  myBuildTree找左右子树的root	就是 总root的5的left和right    *最后return root  "	" int position=findPosition(inorder	instart	inend	preorder[prestart]);  root.left=myBuildTree(inorder	 instart	 position-1	 preorder	 prestart+1	 prestart+position-instart);  root.right=myBuildTree(inorder	 position+1	 inend	 preorder	 prestart+position-instart+1	 preend);"																																	
106	Construct Binary Tree from Inorder and Postorder T	3	3	"array	 tree"	dfs	" *              5  *            /   \            *           2    7   *          / \    / \  *         1  3 6   8       *中序     123 5 678  *后序     132 687 5  所以root是后序最后一个 val是5  *然后 去中序数组里找 5的position 5左边的 都是左子树，5右边的都是右子树  在后续里面 132 (poststart	 poststart + position - instart - 1)是左子树 687(position-inend+postend	 postend-1)是右子树    132 (poststart	 poststart + position - instart - 1) 687(position-inend+postend	 postend-1)  *再递归调用找本方法  myBuildTree找左右子树的root	就是 总root的5的left和right    *最后return root"	"TreeNode root = new TreeNode(postorder[postend]);                            root.left = myBuildTree(inorder	 instart	 position - 1	 postorder	     poststart	 poststart + position - instart - 1);   root.right = myBuildTree(inorder	 position + 1	 inend	 postorder	     position - inend + postend	 postend - 1);"																																	
108	Convert Sorted Array to Binary Search Tree	2	3	tree	dfs	"//先想 假如不是编程 这题目应该怎么做？ //一个平衡的BST 就是左边 右边一样高。。元素一样多 //那么 就像binary search一样 mid 是 root 然后前半段mid 是root.left 后半段mid是root.right // root.left = helper(num	 low	 mid - 1); //root.right = helper(num	 mid + 1	high); "																																		
109	Convert Sorted List to Binary Search Tree	4	3	linked list	"recursion	 two pointers"	"先判断linkedlist长度 再根据长度构造这个平衡的bst。又因为 bst用中序遍历的访问次序就是sorted ，所以利用这个特点 我们按照中序给这个bst里塞sorted linked list的值即可.                   1.先遍历LL求出size 然后 if(size<=0){   return null;  }                                                                                      TreeNode left=sortedListToBSTHelper(size/2); //就是中序的逻辑 先访问左边   TreeNode root=new TreeNode(curr.val);  //再root上塞一个LL值   curr=curr.next;  //然后LL这个用过了 换到下一个  //再访问右，这样保证塞值按中序顺序   TreeNode right=sortedListToBSTHelper(size-1-size/2); //因为LL里面已经少一个了   root.left=left;   root.right=right;"																																		
112	Path Sum	1	3	tree	dfs	九章DFS模板  dfs的结束条件是root没有子节点（root是叶子） &&sum==0 不用写for循环 因为是二叉树 只要分别递归左右子节点当新root即可 sum=sum-root.val 。 然后 如果递归层返回ture就是 true  	"    if(hasPathSum(root.left	sum)){return true;}      if( hasPathSum(root.right	 sum)){return true;}"																																	
114	Flatten Binary Tree to Linked List	3	3	tree	"recursion	 stack"	把一个二叉树改成单叉树（所有node都是按照preorder的顺序连上个node右节点）不用stack，直接改写preorder就行。在类里放一个成员变量叫lastNode（一开始是null） 当lastNode不为空的时候 lastNode.right=root lastNode.left=null;  然后lastNode=root; 新建1TreeNode right = root.right;  再递归调用  flatten(root.left);   flatten(right);	"大体上和preorder写法一样 就是多加了点东西 每次递归都给lastnode连上新的东西 //为什么不能root。right 这样的话 如果root.right没有left节点 他就会 在39行root.right（lastNode。right） =root（实际上还是root。right）   //然后变成每次lastnode都是进入死循环的那个root。left所以会死循环 （一直在root。right这一同一个节点上加）"																																	
116	Populating Next Right Pointers in Each Node	3	3	tree	dfs	"利用dfs 递归调用root.left / root.right 深下枝桠处理。 首先root 如果有left，我让left.next=right 然后如果我本层的root的.next不为null 我就 root.right.next=root.next.left; 处理了5连6的情况 //    /  \  //   2 -> 3 -> NULL  //  / \       / \  // 4->5->6->7 -> NULL   然后 connect(root.left);    connect(root.right);"	" if(root.right!=null&&root.next!=null){     root.right.next=root.next.left;    }"																																	
128	Longest Consecutive Sequence	4	3	array	hashmap	"空间换时间，先把数字全部放到hashmap<num	false>里面 boolean表示这个数字是否已经访问过。 然后for循环遍历 num //遍历到i时候temp=num[i] 再hashmap里找temp+1 和temp-1 看看有没有和temp连续的 (别忘了temp++/--后 hs.put(temp	 true);)   //如果找到了就再while循环 temp++/temp-- 看最长能连多少。先++找到比temp大 再--找到比temp小 最后 //此时包含temp的最长 Consecutive Sequence已经找到    //然后再把这次连到的长度和之前连到的长度取max 就行。   maxLength=Math.max(maxLength	 current_maxLength);"																																		
130	Surrounded Regions	4	3	array	"bfs	 dfs"	"  任何一个O如果它没有被X包围，那么它一定和最外面的边界的某个O是连通的。 // 反过来，也就是可以从最外面那层所有的O开始用广度搜索所有没有被包围的O。                  //先扫描四条边 然后 碰到O 就先改成'I' 再bfs扫描上下左右(防止bfs因为没改O重复扫描)  入queue 然后  然后把本O的上下左右查一遍 碰到O就先改成'I' 再bfs扫描上下左右        //然后第二次 再扫描MATRIX 把 O变成 x 把I变成O                                                                          // pps  如何把坐标转换成一个interger  。。 int length=board[0].length;    int curr=x*length+y；   x=cur/length;       y=cur%length;  就回来了"	" //为什么要先改 i再bfs // NY-Kazami  17:08:07 // 因为是bfs 举个例子 有一个点距离为4 但是有多个路径 但是如果你在poll的时候没有判断的话 他会重复把这个点再做bfs // 所以为什么我一开始说你Poll的时候要判断 // 猫  17:14:04 // 比方说有个中间点 是0 假设他上下左右都是0 然后他bfs调查到左点的时候 左点bfs 会上下左右然后扩展到中的上。。下。。右，。点 所以就会重复了"																																	
132	Palindrome Partitioning II	4	3	string	dp	" // 九章算法 2 sequence dp模板  // 先向PalindromePartitioning 做一个2sequence dp 预处理  //在 isPalindrome中 如果 [x][y]是ture 表示 String s 的charAt(x) 到 charAt(y)是回文(前闭后闭)     //因为 每个字母都是自己的回文 所以 这个2sequence dp的base case就是 [i][i]就是true  //然后 如果char At i=i+1 那么 aa bb也是回文 然后 isPalindrome[i][i + 1] = (s.charAt(i) == s.charAt(i + 1));   // 然后 /start和start+length这一段是不是回文？（前闭后闭）  // 如果 start+1和start+length-1 是回文  //并且 s.charAt(start)=s.charAt(start+length) 那么 start	start+length也是回文  //eg： baab中 如果aa是回文那么又 b=b 所以baab也是回文  //这个dp是从对角线中间往两边扩散  //然后再在矩阵里里面找min cut 做一个1维dp  cut[i] 表示 string到i位位置切成回文的最小切割术+1 // for (int j = 1; j <= i; j++) { //   //如果string的i-j位到i-1位是回文      eg i=5 j=2 那么就是String(3	4)是palindrom //   if (isPalindrome[i - j][i - 1] //    //并且 cut[3]是能切成回文的 那么表示cut[i]也能切成回文 //     && cut[i - j] != Integer.MAX_VALUE) { //    cut[i] = Math.min(cut[i]	 cut[i - j] + 1);  "	"//     a     a      b   //这矩阵只有又上三角是有意义的。因为[0]	[1] 代表 aa  [1][0]啥都不代表 //  a true  true  false  //  a false true  false  //  b false false true "																																	
3	Longest Substring Without Repeating Characters	3	2	"string	 hashtable"	two pointers	"“滑动窗口”的做法，有点类似maximum subarray的滑动窗口。 比方说 abcabccc 当你右边扫描到abca的时候你得 把第一个a删掉得到bca 然后""窗口""继续向右滑动，每当加到一个新char的时候，左边检查有无重复的（用hashmap）然后如果没重复就能正常加 有重复 的话 就左边扔掉一部分（从最左到重复char这段扔掉） 在后在这个过程中记录最大的"																																		
5	Longest Palindromic Substring	4	2	string																																				
9	Palindrome Number	2	2		math	"//判断注意一个数组是不是回文                                                                                                                 //不允许有额外空间 看看是不是负数 (本题负数不是 但是面试时候你应该去问面试官) //不看编程 最基础的逻辑	如果是回文的话 那么这个int 应该== reverse(int)                                     private int reverse(int x){ int result=0;  while(x!=0){  result=result*10+ x%10;    x=x/10; }"	"    //eg: x=321    // result=0*10+ 1  x=32    // =1*10+2=12      x=3    //= 12*10+3 =123"																																	
11	Container With Most Water	3	2	array	two pointers	"//双指针 i从左向右扫描 j从右向左扫描  while(i<j){     //左指针i这边的高度短，根据水桶原理	短边决定面积 那么 长边怎么样是对面积     //无影响的所以短边向右 看看能不能更高     if(height[i]<height[j]){      if((j-i)*height[i]>maxArea){更新 max}      i++;}      }else{  //右指针 j那边的高度小   if((j-i)*height[j]>maxArea){更新max;     j--;      }"																																		
18	4Sum	3	2	array		"4sum 就是2个for循环 for(int i=0; i<num.length;i++){  for(int j=i+1;i<num.length;j++){                         // 等于再num[i]+num[j]定下的情况的情况下做2 sum    //模板化了，要计算 k-sum 复杂度为O(N^(k-1)) 所以4sum 是0n3     if(i!=j&&j!=m&&m!=n){                if(num[m]+num[n]==target-num[i]-num[j]){                                //m n 像2sum一样 左右指针2头扫 和小就左指针++ 大就右指针-- "																																		
25	Reverse Nodes in k-Group	4	2	linked list	"recursion	 two pointers"	"//先写个helper方法 这个方法的作用是反转 从pre+1 到next-1的这一段linkedlist                           eg  0->1->2->3->4->5->6 变成 0->3->2->1->4->5->6 返回1 (每次返下个group的dummyhead）//然后是主方法 int i = 0； while(head != null){          i++;    //每k个group交换1下             if(i % k ==0){  pre = reverse(pre	 head.next);   head = pre.next;}else {                 head = head.next;             }"	"//这题是什么意思 呢 以 K个node位1组反转 //比方说k=2就是2个一组反转  1-2 翻转成2-1  3-4 反转成4-3 5因为不够2个所以不反转 //k=3就是翻转成3-2-1 后面45 不够3个不动"																																	
31	Gray Code	3	2	array	recursion（dp）	"//格雷码转换  输入二进制长度  输出 一条从头转到底的路径 //格雷码定义就是在二进制数字变换时候 不管你有多少bit 每次只能变一个 bit //像上面的例子一样  如果是2位bit 那么一共就是2*2种=4种数字 你返回的结果一定要把四种数字的int值都返回 但是每2个之间最多变一位 bit //比方说 n=4时候 需要返回16个数字 从0000开始 但是相邻数字 每次之变1 bit 。 返回一种顺序即可                                                                                                                                                                 。//  n = 2: [0	1	3	2] and n=3: [0	1	3	2	6	7	5	4]看出规律了么 //前面是一样的  后面6754 就是  [2+4	3+4	1+4	0+4] 0132反过来2310 +4  (3-1)^2 //所以每次递归找出前一层然后再反过来 +(n-1)^2即可  "																																		
35	Search Insert Position	2	2	array	bs	"九章算法 bs模板  //本来是和普通的binary search 是一样的	但是如果没找到的话不是返回-1 //而是返回 你这个target如果要插在数组里的 插在的那个下标的位置 //所以九章算法BS模板 如果start和end等于 target就返回start/end	 如果 比end大就是end+1，如果<end 就是start+1 "																																		
36	Valid Sudoku	2	2	array		//如果不编程这题怎么做   检查行 检查列 检查每个小矩阵就行 四个方法                                         1.横着遍历矩阵 每次检查每行充不重复   //竖着遍历矩阵 每次检查每列重不重复 //遍历矩阵 检查所有小九宫格充不重复 //helper 方法检查 当前检查到的这个char是不是已经在之前出现 接受boolean数组和当前char boolean[3]=true 表示 3之前已经出现过																																		
37	Sudoku Solver	4	2	array	dfs																																			
38	Count and Say	2	2	string	two pointers	"//题意是n=1时输出字符串1；n=2时，数上次字符串中的数值个数，因为上次字符串有1个1， //所以输出11；n=3时，由于上次字符是11，有2个1，所以输出21； //n=4时，由于上次字符串是21，有1个2和1个1，所以输出1211。 // n=5 时候就输出111221 one 1 one 2 two 1 n=6就是 31 2 211   //6 answer312211 7 answer13112221依次类推，写个countAndSay(n)函数返回字符串。   StringBuilder sb=new StringBuilder(); //n层的say就存在sb里        char[] oldChars=lastSay.toCharArray();//n-1的say换成char数组        for(int i=0;i<oldChars.length;i++){ //遍历 lastsay  开始 count         int count=1;while((i+1)<oldChars.length&&oldChars[i]==oldChars[i+1]){          count++;  //这里数有几个 oldChars[i]          i++;//遍历到下一位        }          //while循环结束后 把当前count和oldChars[i] 加入sb 成为一部分say         sb.append(String.valueOf(count)+String.valueOf(oldChars[i]));  //然后再继续for循环 继续检查剩下的i 看看 是就1个 还是符合while条件  多个。。"																																		
40	Combination Sum II	4	2	array	combination	"和combination sum一样 九章dfs模板 。 DFS核心：                                                                   if(num[i]!=prev){ //如果 本次的这个值和之前不一样        path.add(num[i]);        combinationSumHelper(path	 num	 sum-num[i]	 i+1);        prev=num[i];         path.remove(path.size()-1);"																																		
41	First Missing Positive	5	2	array	sort	"// 比方说 -5，-2，0，3，4 那么第一个 first MISSING positive 就是1  // 那么扫描2遍数组， 第一遍 负数无视 然后扫到是正数的且小于A.length	假设值是i  // 就把这个正数放到num[i-1]位置上去 eg 1就放到num[0] 位  // (eg:为什么不放1位？如果A={0} 那么第二遍i只能=0开始遍历 然后A[0]==0 return元素长度+1 就变2了)  // 换好后 再去从1扫描所租 第一个下标不等于值得就是first missing possible  // 如果都等match上 比方说12345 那么fmp就是 A.length+1 6"	"for (int i = 0; i < A.length; i++) { // A[i]==(i+1)说明已经在对的位置上 不用换    while (A[i] > 0 && A[i] <= A.length && A[i] != (i + 1)) {     //为什么用while	因为你换到i位的数字也要换到正确位置。否则下一步i++了 这里i位就不管了吗？     //A[i] 应该存到A[i]-1;               int temp=A[A[i]-1];                              if(temp==A[i]){//eg:A[1]是4 A[3] 也是4 那么换来换就就会死循环       break;  然后再swap"	http://www.cnblogs.com/AnnieKim/archive/2013/04/21/3034631.html 																																
42	Trapping Rain Water	4	2	array	"two pointers	 stack"	" //因为每个column都是宽度1 那么面积=面积+(当前水面高度-当前column高度)*1 traverse一边即可 //所以关键是求当前i水面高度 	i这个column的水面高度 是由离他最近的左右节点中最高的2个的短板决定的(看题目的图就知道了) //所以建立2个数组 一个是从左到右 1~i时候的左边最高高度 //一个是从右向左从 length-2 到i的右边最高高度 //Math.min(left[i]	right[i])就是当前水面高度"																																		
45	Container With Most Water	4	2	array	DP	"//九章算法DP模板 //一维数组预处理 steps[0]=0; 走到i部最少需要 跳 steps[i]次 //初始  steps[0]=0; //然后2个for寻外 外部 是遍历steps i~N //内循环 是从0～j 然后   （0--j--n--A.length） //如果steps[j]!=integer.max(表示A的J位置是走的到得) 然后 如果j+A[j]>=i  ///表示 A[j] 跳一次就走的到A[i] 所以 steps[i]=steps[j]+1; ////因为j是从小到大的遍历 所以后面往后肯定是越来越大了 所以break //遍历到外循环结束steps[A.length-1]即可。 "																																		
47	Permutations II	4	2	array	permutation	Permutations 九章模板，标准bfs ，但是因为数组里面可能有重复数字 所以要去重，怎么去重呢 就是 在for循环里  if(visited[i]==1||(i!=0&&num[i]==num[i-1]&&visited[i-1]==0)){   continue; }	"红字不是很理解?  //但是第一个枝桠完了 基本上吧全排列弄的差不多了    //当到第二个和以后的permutation的枝桠 比方说visited[i-1]==0 并且num[i]==num[i-1]那么 num[i-1]已经被判定为不需要加了    //那么和他相同的num[i]也不需要加了 加了重复 "																																	
48	Rotate Image	4	2	array		"//要将矩阵旋转90度，最简单的做法是一层层旋转，对每一层执行换装旋转  //上边移到右边，右边移到下边，下边移到左边，左边移到上边  //是按照索引进行交换 //  2个for循环 外循环for(int layer=0;layer<n/2;++layer){ 控制层数    int first=layer;     int last=n-1-layer;|||||                          内循环 for(int i=first;i<last;++i){控制 当前层中的i的位置。 int offset=i-first;                        上[first][i] 下[last][last-offset]左[last-offset][first]右[i][last] "	想不清粗可以画一个举证看看 																																	
54	Spiral Matrix	4	2	array		"用for循环的开始结束条件和matrix的坐标来控制边的输入，用count来控制层数。                       for (int i = count; i < cols - count; i++) {     result.add(matrix[count][i]); }  // 横着读取第一行（最外层上边）     for (int i = count + 1; i < rows - count; i++) {     result.add(matrix[i][cols - count - 1]);   }// 从第二行开始读最外层右边      // 如果只有一个col/row了    if (rows - 2 * count == 1 || cols - 2 * count == 1) {    break;   }    // 最外层下边从右(倒数第二右)到左 输入    for (int i = cols - count - 2; i >= count; i--) {    result.add(matrix[rows - count - 1][i]);   }               //最外层左边输从下到上输入(从倒数第二个输入到正数第二个 )    for (int i = rows - count - 2; i >= count + 1; i--) {    result.add(matrix[i][count]);   }"																																		
55	Jump Game	3	2	array	dp  or  window sliding	"1.dp做法 完全类似 word break1 O（N2） 2.类似 maximum sub array 扫描数组并记录 //此时能最远到哪一格是i + A[i]，如果已经比当前格子小了maxLen < i 那么肯定是不行了 return false"	1.dp做法 完全类似 word break1   2个for循环 每次内循环检查如果A[j]能不能跳到 i位 能的话就can[i]=true 然后看最后一位能不能true																																	
59	Spiral Matrix II	3	2	array		"//给你 一个n 让你把1～n^2按照上面这种螺旋矩阵的格式输出 eg 就是输出3×3的矩阵                 //循环输出num num从1开始 每次输出一个就num++，先在[0][0]输入1 再输出最外层上面上边（但是不包括最左最右） 再输出最外层右边 从上到下 利用n和i来控制。 然后在从右向左输出 num++（不包括最左和最右） 然后再输出 最外层的左边包括（最下但是不包括最上）、 然后  xStart++;         yStart++;  (从 0	0 变成1	1 往里面一层)        n=n-2; （nxn矩阵 外面一圈如果是12345678 那么内圈等于n=1---num=9）"	"0 1 0  0 0 0  0 0 0  0 2 0  0 0 0  0 0 0  0 2 3  0 0 0  0 0 0  0 2 3  0 0 4  0 0 0  0 2 3  0 0 4  0 0 5  0 2 3  0 0 4  0 6 5  0 2 3  0 0 4  7 6 5  0 2 3  8 0 4  7 6 5  0 2 3  8 9 4  7 6 5  "																																	
61	Rotate List	3	2	linked list	two pointers	" 首先从head开始跑，直到最后一个节点，这时可以得出链表长度len。然后将尾指针指向头指针，将整个圈连起来，接着往前跑len – k%len，从这里断开，就是要求的结果了。        // 比方说1-2-3-4 旋转2次成为 3-4-1-2 //   1--2--3--4  找到尾巴 把尾巴连到头形成环 //   |--------| //然后再找到2位置 让那个   rotateHead =2.next(3) 然后 ==null //最后return rotate"																																		
66	Plus One	1	2	array	math	"//做法 本位 进位 和 linkedlist相加思路差不多 //注意 当 +1后n位变n+1位后 要返回一个长度更长的新数组 （从最后一位加起）"																																		
68	Text Justification	4	2	string																																				
75	Sort Colors	4	2	array	"sort	 two pointers"	1.蠢方法 遍历一次记录0，1，2的数量 然后 第二次遍历按照数量赋值上去     2. 3 point 一次遍历可以搞定。0的指针从头开始 2的指针从尾巴开始  然后curr 为遍历数组的指针  在保证0《curr《2的时候 情况下 如果A[curr]=0 就和0指针换位置 然后0指针++ curr++  如果等A[curr]=1 就curr++ 如果A[curr]=2就和2指针换位置 然后 2指针--（curr不用++）																																		
76	Minimum Window Substring	4	2	string	two pointers，window sliding	"1.先把target里有那些char 各有几个 存到hashmap里 2.然后再建一个minWindow的hashmap存这个Source -window sliding区间里有哪些char 几个（当然不在target里的就continue不要存了）3.然后for循环遍历Source	 window的leftbound就是lb rightbound就是for循环的i。 4.如果charAt(i) 不在t里就continue 在的话就存入minWindow的hashmap 5.记录现在在window里的char的种类和数量是否已经够了 (见右边格子) 6.如果够了 tCount == T.length() window 里的char的数量和种类都满足 target了 所以开始 7.压缩window求 minwindow。此时lb为0 7.1a如果S.charAt(lb) 不是target里的char 直接lb++ 。 7.1b如果S.charAt(lb) 在minWindow里的数量超过target的数量 也lb++ （minwindow里此char要-1）然后continue继续大for循环。8.如果7.1a已经循环完了但是又不是7.1b的执行条件 就break掉大的for循环 此时已经找到。然后minWindow = S.substring(leftBound	 i + 1); (记得检查window 长度合法性 ) 然后如果是null的话return """""	5.记录现在在window里的char的种类和数量是否已经够了 (见右边格子)                                                  if (minWindowCounter.get(c) <= charInTCounter.get(c)) {     tCount++;}																																	
80	Remove Duplicates from Sorted Array II	2	2	array	two pointers	"//remove 2是 最多允许两个重复的  还是要利用sorted的特性 +双指针 size(左) 和  i(右)   //浮动窗口 从左往右扫 扫到符合条件的size++                                                       //A[i]==A[size]&&A[size-1]==A[size] 就是size左边已经有2个相同的数了 那么这次i就不能插了   // if(A[i]==A[size]&&A[size-1]==A[size]&&size>0){continue;}  A[++size]=A[i];"																																		
84	Largest Rectangle in Histogram	5	2	array	stack	"也是 Windows slide的方法 利用栈辅助，//一开始push1 stack.push(index-0); 此时没进while循环 不用算面积 //然后134 都没有进while 然后 不触发算面积 //然后 到要装2的时候（此时i是3） 进了while循环  //循环第一次 currentHeight2 比4 大 此时 h是4 w是1  max更新成4 //循环第二次 currentHeight2 比3 大 此时 h是3 w是2 max 更新成6 //然后把3也仍完了 stack里就是 1 2 然后再右边再继续 slides"	？？？？ 有点问题 具体见九章答案																																	
87	Scramble String	5	2	string	"recursion	 dp"																																			
89	Gray Code	4	2		combination	" //格雷码转换  输入二进制长度  输出 一条从头转到底的路径 //格雷码定义就是在二进制数字变换时候 不管你有多少bit 每次只能变一个 bit //像上面的例子一样  如果是2位bit 那么一共就是2*2种=4种数字 你返回的结果一定要把四种数字的int值都返回 但是每2个之间最多变一位 bit //比方说 n=4时候 需要返回16个数字 从0000开始 但是相邻数字 每次之变1 bit 。 返回一种顺序即可。  //看出规律了么 n = 2: [0	1	3	2] and n=3: [0	1	3	2	6	7	5	4] //前面是一样的  后面6754 就是  [2+4	3+4	1+4	0+4] 0132反过来2310 +4  (3-1)^2 //所以每次递归找出前一层然后再反过来 +(n-1)^2即可  "	"//00 - 0 //01 - 1 //11 - 3 //10 - 2 ////Try one more example	 n = 3: ////000 - 0 //001 - 1 //011 - 3 //010 - 2 //110 - 6 //111 - 7 //101 - 5 //100 - 4 "																																	
90	Subsets II	4	2	array	"recursion	 combination"	九章算法模板 。因为是subsets而不是全排列 所以 进了方法就可以吧list扔结果里。然后for循环里 只用f(i!=pos&&num[i]==num[i-1]){  continue;}去重即可。																																		
92	Reverse Linked List II	3	2	linked list	two pointers	"//  这题最要紧的就是 在反转当中那段 mn后，成为了 1 n m end //把 1-n和 m-end 连起来 是最关键的。 比方说 1->2->3->4->5 反转 2～4 成为  // 1->4->3->2->5  那么 1->4的连接和2->5的连接 这些要搞好 所以就要记录 //第一段最后一个节点(第m-1个node)，反转段首节点(第m个node)，反转段首尾节点(标准反转做法return的newnode)， //和最后段第一个节点(标准反转做法next.next) "																																		
97	Interleaving String	5	2	string	"recursion	 dp"	"九章算法 预处理 2 sequence DP模板 boolean[i][j] 是 s3的第char[i+j-1] 位是否是第一个string到第i个char时候和 第2个string到j个char时候组合的interleaving 。模板1.初始化[0][0] 然后左边 for(int =1;i<=s1.length();i++){ interleave[i][0]=s1.subSequence(0	 i).equals(s3.subSequence(0	 i)); } 上边for(int i=1;i<s2.length();i++){interleave[0][i]=s2.substring(0	i).equals(s3.subSequence(0	 i));}  然后 DP 双循环( 见右边)    最后返回 boolean[s1.length()][s2.length()];"	" for(int i=1;i<=s1.length();i++){      for(int j=1;j<=s2.length();j++){       interleave[i][j]=false;             if(s1.charAt(i-1)==s3.charAt(i+j-1)){    interleave[i][j]=interleave[i][j]||interleave[i-1][j]; }      if(s2.charAt(j-1)==s3.charAt(i+j-1)){     interleave[i][j]=interleave[i][j]||interleave[i][j-1]    }       "	"//          e      d   f   //    true false false false  //  a true false false false  //  b true true true false  //  c false false true true                    abedcf"																																
99	Recover Binary Search Tree	4	2	tree	dfs	BST in-order traverse就是从小到大排序的，那么正常情况下 本节点肯定是比上节点大的。那我们只要按照9章的中序模板来做，然后 在访问root那部 我们把root和上个root（lastElement 存在类的instance variable里面）比较，如果本节点比上个节点小，那么肯定是错的，然后存下来 最后swap	"if(firstElement==null&&root.val<lastElement.val){   firstElement=lastElement;  }  if(firstElement!=null&&root.val<lastElement.val){    secondElement=root;   }  lastElement=root；"																																	
101	Symmetric Tree	1	2	tree	bfs	"//检查一棵树是否 mirror symeetric                                       //devide and concur的思路 bfs          // 左子树的右边和右子树的左边一样 mirror symmetric  不是相同子树   return left.val==right.val&&isSymmetric(left.left	right.right)&&isSymmetric(left.right	 right.left);"	"//    1            //   / \ //  2   2 //  / \ / \ //3  4 4  3  true "																																	
110	Balanced Binary Tree	1	2	tree	dfs	"/CC原题 我们用九章的模板来做   (和cc做法不一样，cc是求树的最深node和最浅node的差 ) //我们这 是每次recursive求左子树的高度和右子树的高度，（还记得高度怎么求么 叶子节点往下null返回0 然后叶子节点返回0+1 再上就返回Math.max(left	right)+1）但是如果左/右子树已经不平衡了 或者 两者高度相差大于1了 就返回-1 (所以有一个-1就一层层-1返回上去) 最后false"	"   if(left==-1||right==-1||Math.abs(left-right)>1){    return -1;  //我的左右子树不平衡了  }   return Math.max(left	right)+1;"																																	
113	Path Sum II	2	2	tree	dfs	九章DFS模板  dfs的结束条件是root没有子节点（root是叶子） 然后 不用写for循环 因为是二叉树 只要分别递归左右子节点当新root即可。 记得 (不管这个递归方法是怎么结束的 因为 只有一个onePath作为单条path的缓存 所以递归方法啊结束时候都要 onePath.remove(onePath.size()-1);	"onePath.remove(onePath.size()-1);//把这次加的root给删了 因为onePath这个arrayList是唯一的  //比方说随着dfs的越来越深入 onePath里面的int也越来越多。直到到叶子节点 如果是对的值放result  //但是随着递归方法结束的返回 	每一层都把自己加的那个值删掉，最后返回调用层的时候 那些由递归层  //加的数字又删掉了。 比方说find_sum(result	 onePath	 root.left	 sum); 然后 one Path里int越来越多  //但是递归都返回的时候 又都删掉了  //所以 find_sum(result	 onePath	 root.right	 sum); 也从正常的位置开始加  "																																	
115	Distinct Subsequences	4	2	string	dp																																			
117	Populating Next Right Pointers in Each Node II	4	2	tree	level order，queue	利用level order 特性， while (!queue.isEmpty()) {   int size = queue.size();（当前queue里 二叉树当前层的元素个数得到后）for循环，是先poll当前层的一个node 然后把当前poll出来加左右儿子，然后 如果此时如果for循环的i<size-1， 说明current这个node后面还有本层的其他node 所以  current.next = queue.peek()																																		
124	Binary Tree Maximum Path Sum	4	2	tree	dfs	"分而治之，用九章模板来做。maximumPath有2种情况 一种是单边链/or\ 一种是/\ 双边的，所以我result里面有 singlePath	ImaxPath 2个int，然后每次分的时候就是递归左右儿子调用方法，治的时候就是在本层递归里整理本层root.left和root.right发回的信息 首先singlePath就是比较左右儿子的返回的sinP 那个大就要那个 然后再加上root 看如果》0就保留 《-就扔了（有点像maximum subarray）然后maxP就是 比较左右儿子返回的maxP和 sinP左+root+sinp右那个大，谁大就保留谁 然后返回上一层递归 最后  return result.maxPath;"	"ResultType(int singlePath	int maxPath) "																																	
6	ZigZag Conversion	3	1	string		"nRows = 4 0       6       12 ...  一个zig可以认为是012345 1    5 7    11 2  4   8 10   3       9  *   * 观察可知 zigSize = nRows + nRows – 2  * 然后因为一共有1～n行   * 第一行就只放每个zig的第一个字符 最后一行也只放每个zag的  * 当中的那些行 (假设为i行) 那么第一个字符就是 每个zig的第i个字符  * 第二个在ir行的字符 在每个zig第一个字符在String里位置 +zigSize – 2*ir  * "	详细实现见答案  我觉得不太会考																																	
14	Longest Common Prefix	2	1	string		"  // 把第一个String 当作前缀 然后每次都和后面的string比 然后找出共同prefix作为新的prefix  //然后更新的prefix	再和下一个比。                                                                                                    for(int i=1;i<strs.length;i++){  int j=0;    while(j<strs[i].length()&&j<prefix.length()&&strs[i].charAt(j)==prefix.charAt(j)){    j++;  }  if(j==0){   return """";   }      prefix =prefix.substring(0	j);  }"																																		
16	3Sum Closest	3	1	array	two pointers	"//先sort数组 //然后设一个初始closet 为max_value/2 //然后 for循环从 0～i-2 //每次for循环后 左指针=i+1	 右指针 是length-1 //因为从小达到 所以 此时 lp最小rp最大 //while(left<right) sum=num[i]+num[左]+num[右] //如果sum==target	就找到了 如果sum<target 说明总sum小了 所以left++ 	反之right-- //然后每次循环最后   closet=Math.abs(sum-target)<Math.abs(closet-target)?sum:closet; //如果之前的closet离target进 就保留 如果本次for循环算出来的sum离target进 就用本次sum更新closet "																																		
